BrandCode,Brand,ChosenCount,TotalChosen,Share,SharePct
1,Tide,83,348,0.23850574712643677,23.850574712643677
2,Wisk,179,348,0.514367816091954,51.43678160919541
3,Era,42,348,0.1206896551724138,12.068965517241379
4,Surf,44,348,0.12643678160919541,12.643678160919542
