Occasion,Household,Week,Loyalty,Price,Feature,Display,Tide,Wisk,Era,Choice,TotalHouseholds,TotalOccasions,OverallAvgPrice,PctFeature,PctDisplay
14,12,15,0.86,6.45,0,0,0,0,1,1,52,348,5.40455459770115,6.25,9.770114942528735
14,12,15,0.14,6.45,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
15,12,19,0.0,6.45,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
15,12,19,0.0,4.89,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
15,12,19,0.86,6.45,0,0,0,0,1,1,52,348,5.40455459770115,6.25,9.770114942528735
15,12,19,0.14,6.45,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
16,12,23,0.0,6.45,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
16,12,23,0.0,4.89,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
16,12,23,0.86,6.45,0,0,0,0,1,1,52,348,5.40455459770115,6.25,9.770114942528735
16,12,23,0.14,6.45,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
17,12,31,0.0,4.98,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
17,12,31,0.0,4.89,0,1,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
17,12,31,0.86,6.45,0,0,0,0,1,1,52,348,5.40455459770115,6.25,9.770114942528735
17,12,31,0.14,4.67,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
18,12,40,0.0,6.45,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
18,12,40,0.0,4.52,0,1,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
18,12,40,0.86,5.45,0,1,0,0,1,1,52,348,5.40455459770115,6.25,9.770114942528735
18,12,40,0.14,4.67,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
19,12,45,0.0,6.45,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
19,12,45,0.0,4.67,0,1,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
19,12,45,0.86,5.45,0,0,0,0,1,1,52,348,5.40455459770115,6.25,9.770114942528735
19,12,45,0.14,6.45,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
20,12,50,0.0,6.95,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
20,12,50,0.0,4.67,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
20,12,50,0.86,6.95,0,0,0,0,1,1,52,348,5.40455459770115,6.25,9.770114942528735
20,12,50,0.14,6.95,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
21,15,9,0.0,5.3,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
21,15,9,1.0,4.98,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
21,15,9,0.0,5.38,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
21,15,9,0.0,4.98,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
22,15,10,0.0,6.45,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
22,15,10,1.0,4.2,1,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
22,15,10,0.0,5.28,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
22,15,10,0.0,4.89,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
23,15,10,0.0,6.45,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
23,15,10,1.0,4.2,1,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
23,15,10,0.0,5.28,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
23,15,10,0.0,4.89,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
24,15,19,0.0,4.67,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
24,15,19,1.0,4.98,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
24,15,19,0.0,6.55,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
24,15,19,0.0,4.98,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
25,15,27,0.0,4.67,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
25,15,27,1.0,4.98,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
25,15,27,0.0,6.55,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
25,15,27,0.0,4.98,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
26,15,49,0.0,6.95,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
26,15,49,1.0,3.89,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
26,15,49,0.0,6.95,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
26,15,49,0.0,5.39,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
27,16,1,0.0,6.45,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
27,16,1,0.18,3.89,1,1,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
27,16,1,0.59,6.45,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
27,16,1,0.14,6.45,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
28,16,3,0.0,6.45,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
28,16,3,0.18,4.36,0,1,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
28,16,3,0.59,6.45,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
28,16,3,0.14,6.45,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
29,16,6,0.0,5.28,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
29,16,6,0.18,4.36,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
29,16,6,0.59,5.28,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
29,16,6,0.14,4.89,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
30,16,17,0.0,6.45,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
30,16,17,0.18,4.89,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
30,16,17,0.59,5.28,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
30,16,17,0.14,4.89,0,0,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
31,16,50,0.0,6.95,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
31,16,50,0.18,3.58,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
31,16,50,0.59,6.95,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
31,16,50,0.14,5.39,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
